datetime,username,channel,message
2022-04-26T11:17:35.371130,lolpafff,#thebausffs,Leanin Tssk Leanin Tssk Leanin Tssk Leanin Tssk
2022-04-26T11:17:35.951829,donny783,#thebausffs,TrumpetTime
2022-04-26T11:17:36.108417,jhincognito,#thebausffs,YEPJAM another banger YEPJAM Tssk  YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk
2022-04-26T11:17:33.449085,mcaxier,#thebausffs,bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  󠀀
2022-04-26T11:17:34.400288,shytaa,#thebausffs,DANCE  AlienPls3  TILL  AlienPls3 UR  AlienPls3 BANNED DANCE  AlienPls3  TILL  AlienPls3 UR  AlienPls3 BANNED DANCE  AlienPls3  TILL  AlienPls3 UR  AlienPls3 BANNED DANCE  AlienPls3  TILL  AlienPls3 UR  AlienPls3 BANNED DANCE  AlienPls3  TILL  AlienPls3 UR  AlienPls3 BANNED
2022-04-26T11:17:34.563534,bacinon,#thebausffs,ok spacing
2022-04-26T11:17:34.734721,jmieinnit,#thebausffs,AYAYAjam AYAYAjam AYAYAjam AYAYAjam AYAYAjam AYAYAjam AYAYAjam
2022-04-26T11:17:34.891265,boblobber,#thebausffs,good trade
2022-04-26T11:17:34.891313,tien2t1s,#thebausffs,sion mid
2022-04-26T11:17:34.891330,aeryscorch,#thebausffs,RANGED TOP MODS RANGED TOP MODS RANGED TOP MODS RANGED TOP MODS RANGED TOP MODS RANGED TOP MODS RANGED TOP MODS RANGED TOP MODS RANGED TOP MODS
2022-04-26T11:17:34.891343,heinzelmenzel,#thebausffs,VibePls VibePls VibePls VibePls VibePls VibePls VibePls VibePls VibePls VibePls VibePls VibePls VibePls
2022-04-26T11:17:35.057942,inavi01,#thebausffs,peepoDJ AlienGathering  peepoDJ
2022-04-26T11:17:35.214531,gherkinz,#thebausffs,one more wave leTroll
2022-04-26T11:23:18.346914,kolamon,#asmongold,pluton33Pls
2022-04-26T11:23:18.525803,lukemoistwalker,#thebausffs,@bzgr_reee 1h 30m
2022-04-26T11:23:08.557044,iamf0x_,#thebausffs,m1ky Pog
2022-04-26T11:23:19.040767,legendbrendon,#thebausffs,Ranged toplaners DansGame
2022-04-26T11:23:10.703741,ahmad_rehmani,#thebausffs,"@flek21 wasnt a ban bro, account was locked for some reason being account heft or something. looks like someone tried to log into his account from somewhere. its unlocked now"
2022-04-26T11:23:11.006166,ukagi1,#thebausffs,Diddles
2022-04-26T11:23:11.336216,tzeiefpi1,#thebausffs,!song
2022-04-26T11:23:11.505215,spacewalrus,#xqcow,AlienPls3
2022-04-26T11:23:13.567062,wheeioftime,#asmongold,PauseChamp DUCKS?
2022-04-26T11:23:17.000119,lol30767,#thebausffs,Tabi is goodddd
2022-04-26T11:23:17.497161,lithuanianjesus,#thebausffs,@bzgr_reee 1:30 hour
2022-04-26T11:23:17.721253,ppsalad,#thebausffs,chicken dance song
2022-04-26T11:23:15.603517,dub_joe,#xqcow,!roulette 20
2022-04-26T11:23:15.760047,schnozebot,#xqcow,ACTION duB_Joe won 20 points in roulette and now has 1125 points! FeelsGoodMan
2022-04-26T11:23:16.224063,obbraa,#thebausffs,@bzgr_reee
2022-04-26T11:23:13.723622,afrodude999,#thebausffs,!followage
2022-04-26T11:23:13.723672,pallaslol,#xqcow,I apologize.
2022-04-26T11:23:13.880194,abstractjj,#thebausffs,ewwww what is that akshan build
2022-04-26T11:23:14.036763,meiionnin,#thebausffs,i believe
2022-04-26T11:23:14.407172,streamelements,#thebausffs,"@afrodude999, afrodude999 has been following thebausffs for  1 year 10 months 13 hours"
2022-04-26T11:23:15.075737,meblackbeard,#thebausffs,M1kyx PagMan
2022-04-26T11:23:15.318654,eggle73,#thebausffs,@bzgr_reee 1 hr 30 mins
2022-04-26T11:23:12.637738,kuzoonn,#thebausffs,Jammies
2022-04-26T11:23:12.794307,itspotato_7,#xqcow,amber can poop in my bed Kreygasm
2022-04-26T11:23:09.579329,nickgadjee,#thebausffs,@M1kyx xqcL
2022-04-26T11:23:09.735954,pallaslol,#xqcow,"axelfrOst2o0O, the right chat would have been pokimane"
2022-04-26T11:23:09.892713,verredetrop,#thebausffs,!music
2022-04-26T11:23:10.292965,vinnie1202,#thebausffs,wtf that damage
2022-04-26T11:23:11.661788,speega,#thebausffs,I just noticed the stream title lmao
2022-04-26T11:23:11.823743,minegenmamma,#thebausffs,galeforce+passive+press The attack
2022-04-26T11:23:12.114277,dalztreon,#thebausffs,98tek lol
2022-04-26T11:23:12.270910,juliocrbe,#thebausffs,m1kyx!
2022-04-26T11:23:12.427493,ethershulk,#thebausffs,"@flek21 because he played so badly, riot suspected someone else was playing in his account. he told an employee and was unbanned shortly after"
2022-04-26T11:13:09.276076,partyforbro,#thebausffs,Kappa
2022-04-26T11:13:09.432666,breaaaaad_,#thebausffs,HUH
2022-04-26T11:13:09.432821,distributeurdesel,#thebausffs,MUTE
2022-04-26T11:13:09.636713,spaman42,#thebausffs,OMEGALUL
2022-04-26T11:13:09.793069,devon_hendryx,#thebausffs,MUTE LULW
2022-04-26T11:13:10.068383,scuffed1v9,#thebausffs,Kappa
2022-04-26T11:13:11.160421,1comegetsome,#thebausffs,Sadge
2022-04-26T11:13:11.317077,anonymus9809,#thebausffs,Copege
2022-04-26T11:13:11.473747,gergexgod,#thebausffs,Baus vs Baus Pog
2022-04-26T11:13:11.473955,kazal_d,#xqcow,delhi kai koi chances haii?
2022-04-26T11:13:11.474085,azooamps,#thebausffs,Kappa
2022-04-26T11:13:11.630542,frogwithteeth,#thebausffs,WhoAsked Shush
2022-04-26T11:13:11.630739,marilyo,#thebausffs,ll
2022-04-26T11:13:11.630914,droggellord,#thebausffs,BLABBERING
2022-04-26T11:13:11.631069,articuno7777,#thebausffs,ReallyMad
2022-04-26T11:13:11.886348,fort_joy,#thebausffs,Copege
2022-04-26T11:13:12.043044,fluzy3,#thebausffs,Copege
2022-04-26T11:13:14.138790,scarly,#xqcow,northern lights
2022-04-26T11:13:14.139041,pall1kala,#thebausffs,but its every champ u play LULW
2022-04-26T11:13:14.139202,ludman99,#thebausffs,Copege its the shamp
2022-04-26T11:13:14.139327,syb17,#thebausffs,ReallyMad
2022-04-26T11:13:14.139456,thepositivebot,#xqcow,"ACTION [Trivia] scarly you got the answer right! EZ It was ""northern lights"" PogChamp"
2022-04-26T11:13:14.295229,miufia,#thebausffs,Copege its the champion
2022-04-26T11:13:14.295409,dazzeb12,#thebausffs,Clueless
2022-04-26T11:13:14.295549,hutosiak,#thebausffs,shampion
2022-04-26T11:13:14.451825,dr___vanilla,#thebausffs,2/18 NOT AN INT leTroll
2022-04-26T11:13:14.451995,nodditoddi,#thebausffs,Sadge
2022-04-26T11:13:14.452121,tjessi1208,#thebausffs,cuz they play hour tactics heheehhe
2022-04-26T11:13:14.608537,subscroof,#thebausffs,Copege
2022-04-26T11:13:14.872457,asterrrrrrr,#xqcow,northern lights
2022-04-26T11:13:15.029040,mojanga,#thebausffs,defintily not all champs Kappa
2022-04-26T11:13:18.201679,dogbark20,#thebausffs,0 7 quin inc
2022-04-26T11:13:18.358168,axevanced,#thebausffs,He  found HIMSELF in ranked DESPAIR
2022-04-26T11:13:18.514698,based_one,#thebausffs,Copege im not an INTer
2022-04-26T11:13:18.671322,jankos_soulmate,#thebausffs,ALL SION USERS ARE INTERS
2022-04-26T11:13:18.671512,olivejj,#thebausffs,peepoDJ  peepoDJ  peepoDJ
2022-04-26T11:13:17.232353,maracus124,#thebausffs,Kappa
2022-04-26T11:13:17.232511,kanye_westx2024,#thebausffs,MINUS 2
2022-04-26T11:13:17.232649,irome_,#xqcow,!roulette 800
2022-04-26T11:13:17.232771,hiverday,#thebausffs,Leanin Tssk
2022-04-26T11:13:17.418531,decompoze,#thebausffs,you are a filthy inter
2022-04-26T11:13:17.575095,schnozebot,#xqcow,ACTION irome_ won 800 points in roulette and now has 1635 points! FeelsGoodMan
2022-04-26T11:13:17.575292,seedlesslad,#thebausffs,But you just died as Quinn
2022-04-26T11:13:17.575425,moobot,#thebausffs,@francocentral Thebausffs is GRANDMASTER I 599 LP. borpaSpin
